Material - Material Number (Key),Material - Text,Material - Material Group (Key),Material - Material Group (Text),SCHC 1 - Key,SCHC 1 - Text,Storage Location - Key (Not Compounded),Storage Location,Storage Type - Key,Storage Bin - Key,Storage Bin Type - Key (Not Compounded),Stock material - Blocked Stock (Key),Stock material - In Quality Insp. (Key),Stock material - Unrestr.-use Stock (Key),Total Stock,Material - CFSS UOI (Key),Material - CFSS UOI (Text),Technical Auth. Code - Key,Technical Auth. Code - TA Environment (Text),SMC - Key,SMC - Desc. Purch. Group (Key),GR Date - Key,Material - CFSS UOI Price (Key),Material - Lead IMA (Key),Material - Stock Type (Supply) (Key),Material - Lead IMA (Text),Material - Stock Classification (Key),Material - Stock Classification (Text),Material - DMC (Key),Material - DMC (Text),Material - Repair Code (Key),Material - Repair Code (Text),CC Physical Inventor - Key (Not Compounded),Last Inventory Date - Key,Quant - Key,Last Movement Date,Status,Mat Hlth Cat,Mat Hlt Sub Cat,Mat Hlth Sub Sub Cat,Tranche 1?,Storage Location Group,Last Demand Year,Assigned Year,Line Value,Price,Blocked,Quality Inspection,Lead EPM,Mark As Hazmat,Storage Medium,Size factor,Storage Bin,Count,Cubic Metres,25 CFSD Bin Structure,Transit Bin,Robot Message,Sheet
00-0015390:NSN,"CABLE ASSEMBLY,CONTROL",1640,Aircraft Cntrl Cable,#,Not assigned,3,25CFSD SERV,SHA,170T147C,6,0.000 EA,0.000 EA,4.000 EA,4,EA,each,MA02,DGAEPM,58V,(A) DAP 4/OWSM/SM,10/2/2013,40.49 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,Q,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5034,10/2/2013,Success,,,,,,,1972,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0015796:NSN,"CAPACITOR,FIXED,GLASS DIELECTRIC",5910,Capacitors,Q,Q,3,25CFSD SERV,SHA,154S152D3,6,0.000 EA,0.000 EA,4.000 EA,4,EA,each,A213,DGAEPM,51L,(A) DAP5/OWSS/AV,10/2/2013,47.96 CAD,4E,X,CENTRALLY MANAGED NO FURTHER PROCUREMENT,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,3471744,8/15/2018,Success,,,,,,,1982,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0016010:NSN,"MICROCIRCUIT,DIGITAL",5962,"Microcircuits, Elect",Y,ELECTROSTATIC SENSITIVE ELECTRONIC ITEMS,3,25CFSD SERV,SHA,104P192A,6,0.000 EA,0.000 EA,550.000 EA,550,EA,each,A20H,DGAEPM,56G,(A)DAP5-3-2-2-4,10/2/2013,6.00 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,Q,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,12779,10/2/2013,Success,,,,,,,1973,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0016202:NSN,"VALVE,REGULATING,FLUID PRESSURE",4820,"Valves, Nonpowered",#,Not assigned,3,25CFSD SERV,SHA,118Y137D,6,0.000 EA,0.000 EA,23.000 EA,23,EA,each,UJ43,DGAEPM,53G,(A) DAP 7-2-4-3,10/2/2013,104.00 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,12865,10/2/2013,Success,,,,,,,1984,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0010060:NSN,"HOSE ASSEMBLY,NONMETALLIC",4720,Hose/Tubes Flexible,U,SLM-NON EXTENDABLE SHELF LIFE TYPE,3,25CFSD SERV,SHA,106U133B,6,0.000 EA,0.000 EA,11.000 EA,11,EA,each,A305,DGAEPM,52N,(A) DAP 6-2-4K,10/4/2018,94.04 CAD,1M,X,ITEM IS UNDER CRITICAL CONTROL,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,3554611,7/21/2022,Success,,,,,,,1989,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0013533:NSN,"NIPPLE,PIPE",4730,Hose/Pipe Fittings,#,Not assigned,3,25CFSD SERV,SHA,114E155B,6,0.000 EA,0.000 EA,77.000 EA,77,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,10/2/2013,97.26 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,3572,1/20/2016,Success,,,,,,,1982,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0013539:NSN,"ARM,SUPPORT",2540,Vehicular Furniture,#,Not assigned,3,25CFSD SERV,HPA,026K208B,14,0.000 EA,0.000 EA,20.000 EA,20,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,10/2/2013,463.98 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,13069,3/3/2016,Success,,,,,,,1989,,,,,DGLEPM,,2. Pallet,1,,,,,,,
00-0013542:NSN,"BRACKET,BLADE ARM,B",2540,Vehicular Furniture,#,Not assigned,3,25CFSD SERV,SHA,108AD125B,6,0.000 EA,0.000 EA,35.000 EA,11,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,10/2/2013,81.67 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,10/6/2021,4922150,10/6/2021,Success,,,,,,,1973,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0013542:NSN,"BRACKET,BLADE ARM,B",2540,Vehicular Furniture,#,Not assigned,3,25CFSD SERV,SHA,118G176D,6,0.000 EA,0.000 EA,35.000 EA,5,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,10/2/2013,81.67 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,10/5/2021,4916350,10/5/2021,Success,,,,,,,,,,,,,,,,,,,,,,
00-0013542:NSN,"BRACKET,BLADE ARM,B",2540,Vehicular Furniture,#,Not assigned,3,25CFSD SERV,SHA,118W176D,6,0.000 EA,0.000 EA,35.000 EA,15,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,10/2/2013,81.67 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,10/5/2021,4917267,10/5/2021,Success,,,,,,,,,,,,,,,,,,,,,,
00-0013542:NSN,"BRACKET,BLADE ARM,B",2540,Vehicular Furniture,#,Not assigned,3,25CFSD SERV,SHA,172J195C,6,0.000 EA,0.000 EA,35.000 EA,4,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,10/2/2013,81.67 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,9/7/2021,4864042,9/7/2021,Success,,,,,,,,,,,,,,,,,,,,,,
00-0013587:NSN,"FASTENER TAPE,HOOK",8315,Notions/Apparel,#,Not assigned,3,25CFSD SERV,SHA,112AJ132C,6,0.000 EA,0.000 EA,3.000 EA,3,EA,each,L50K,DGLEPM,49T,(L) DLP 7-4-2-1,10/2/2013,13.23 CAD,1R,X,QD MESSAGE FORMAT,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4852611,8/30/2021,Success,,,,,,,2006,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0014074:NSN,"AMPLIFIER,IMPEDANC",5826,Radio Nav Eq Airborn,Q,Q,3,25CFSD SERV,SHA,098K189D,6,0.000 EA,0.000 EA,16.000 EA,2,EA,each,A32X,DGAEPM,52L,(A) DAP 6-2-3B,10/2/2013,237.00 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,Q,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,3/28/2018,4627,4/12/2022,Success,,,,,,,1973,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0014074:NSN,"AMPLIFIER,IMPEDANC",5826,Radio Nav Eq Airborn,Q,Q,3,25CFSD SERV,SHA,126C145A,6,0.000 EA,0.000 EA,16.000 EA,14,EA,each,A32X,DGAEPM,52L,(A) DAP 6-2-3B,10/2/2013,237.00 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,Q,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4660,10/2/2013,Success,,,,,,,,,,,,,,,,,,,,,,
00-0014077:NSN,ANTENNA,5985,Antennas/Waveguide,Q,Q,3,25CFSD SERV,SHA,166H186B,6,0.000 EA,0.000 EA,10.000 EA,7,EA,each,A32X,DGAEPM,52L,(A) DAP 6-2-3B,10/2/2013,510.00 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,F,2ND  LINE WKSP AND 3RD LINE,G,10/25/2019,4748,2/21/2014,Success,,,,,,,,,,,,,,,,,,,,,,
